HOME_AREA,WORK_AREA,PERCENT_TRAVELLERS  (Avg),HOME_LONGITUDE,HOME_LATITUDE,WORK_LONGITUDE,WORK_LATITUDE,TRAVELING_DISTANCE_KM,DIRECT_DISTANCE_KM
F8_E8_F9_E9,G10_G11_G12,0.00743,73.03277168,33.7134014,73.00632507,33.67167071,7.412,5.245806919299364
F8_E8_F9_E9,G13_G14_GOLRA,0.0030295000000000005,73.03277168,33.7134014,72.95087122,33.64752556,16.735,10.5397569371718
F8_E8_F9_E9,G5_F5_DIPLOMATIC_SECRETARIAT,0.006636666666666667,73.03277168,33.7134014,73.09936917,33.72629888,9.44,6.32420315445977
F8_E8_F9_E9,G6_G7_BLUE_AREA,0.018682999999999998,73.03277168,33.7134014,73.07453242999999,33.71343576,7.253,3.8626468145860353
F8_E8_F9_E9,G8_G9,0.020198000000000004,73.03277168,33.7134014,73.04003006,33.69034756,3.799,2.649948232869719
F8_E8_F9_E9,GHAURI_BURMA_TOWN_KHANNA,0.0046886666666666665,73.03277168,33.7134014,73.13042452,33.62744881999999,16.730999999999998,13.153358511355101
F8_E8_F9_E9,H10_H11_H12,0.002056,73.03277168,33.7134014,72.9999366,33.6462776,12.806,8.058516815481001
F8_E8_F9_E9,H13_I14_JHANGI_SYEDAN,0.001587,73.03277168,33.7134014,72.95902271,33.62512322,16.479,11.955527094595942
F8_E8_F9_E9,H9_I9,0.0019474999999999998,73.03277168,33.7134014,73.05200624999999,33.66234500000001,7.759,5.949605251534536
F8_E8_F9_E9,I10_I11,0.0023805000000000002,73.03277168,33.7134014,73.03527323000002,33.64604400000001,10.588,7.493377073211723
F8_E8_F9_E9,I8_H8_SHAKARPARIAN,0.0057708333333333335,73.03277168,33.7134014,73.07717666999999,33.68034167,7.320999999999999,5.512649236698049
F8_E8_F9_E9,KHANNA_KORAL,0.0020198333333333335,73.03277168,33.7134014,73.10675249999998,33.62449535,16.16,12.02513249749396
F8_E8_F9_E9,KOHINOOR_MILL_PIRWADHAI,0.001385,73.03277168,33.7134014,72.98985375,33.61071461,17.771,12.089400793716184
F8_E8_F9_E9,LALKURTI_TENCH_DHOKSYEDAN,0.0025968333333333334,73.03277168,33.7134014,73.04073332,33.579432849999996,21.712999999999997,14.914842368534142
F8_E8_F9_E9,LIAQUATBAGH_RAJABAZAR,0.0011252,73.03277168,33.7134014,73.05613158,33.61586581,14.204000000000002,11.058835252390258
F8_E8_F9_E9,MORGAH_ASKARI14,0.0012983333333333334,73.03277168,33.7134014,73.07338379,33.54724362,26.022000000000002,18.854622414544053
F8_E8_F9_E9,NAVAL_GULBERG,0.0018754999999999998,73.03277168,33.7134014,73.17832789,33.57863522,23.619,20.151941233160784
F8_E8_F9_E9,OLD_AIRPORT,0.0010386,73.03277168,33.7134014,73.11899808,33.59809288,19.873,15.102654665383211
F8_E8_F9_E9,QASIM_MARKET_RANGE_ROAD,0.0010387999999999999,73.03277168,33.7134014,73.01657994,33.59000295,21.891,13.802888888833158
F8_E8_F9_E9,RAWAL_ROAD,0.001039,73.03277168,33.7134014,73.073812,33.61876717,15.676,11.18730760417732
F8_E8_F9_E9,SADDAR,0.0023374,73.03277168,33.7134014,73.05574406,33.59627289,18.732,13.196518476515946
F8_E8_F9_E9,SATELLITE_TOWN,0.004400166666666667,73.03277168,33.7134014,73.06257614000002,33.63989311,10.92,8.626491733325393
F8_E8_F9_E9,SCHEME3_GULISTAN_COLONY,0.0011543333333333334,73.03277168,33.7134014,73.09887207999999,33.577184069999994,26.573000000000004,16.33588680671729
F8_E8_F9_E9,SHAKRIAL_SADIQABAD,0.003318166666666666,73.03277168,33.7134014,73.08968728,33.63784415999999,14.086,9.91588262875869
F8_E8_F9_E9,SHAMSABAD_DHOK_KALA,0.0020773999999999996,73.03277168,33.7134014,73.09153509,33.65017158,11.87,8.888018823515008
